,times
"('Outport', 'Record')",74
"('Outport', 'ComplexToRealImag')",85
"('Display', 'Record')",35
"('Abs', 'ToWorkspace')",38
"('ToWorkspace', 'Bias')",40
"('Record', 'Outport')",60
"('Inport', 'Display')",44
"('Record', 'Abs')",39
"('Record', 'ToWorkspace')",33
"('ComplexToRealImag', 'Record')",46
"('Abs', 'Bias')",32
"('ToWorkspace', 'Display')",33
"('ToWorkspace', 'ComplexToRealImag')",53
"('ToWorkspace', 'Abs')",33
"('Record', 'Bias')",35
"('ComplexToRealImag', 'Inport')",16
"('Abs', 'Record')",47
"('Display', 'ComplexToRealImag')",35
"('Record', 'Display')",33
"('Inport', 'Record')",68
"('Abs', 'Display')",64
"('ComplexToRealImag', 'Display')",42
"('Outport', 'ToWorkspace')",79
"('Abs', 'Reference')",45
"('Display', 'Abs')",31
"('ComplexToRealImag', 'Bias')",28
"('Display', 'Delay')",29
"('Record', 'Delay')",35
"('ComplexToRealImag', 'ToWorkspace')",40
"('Record', 'ComplexToRealImag')",37
"('Reference', 'Bias')",53
"('ToWorkspace', 'Inport')",17
"('Display', 'Bias')",33
"('Display', 'Inport')",21
"('Delay', 'Record')",14
"('ComplexToRealImag', 'Abs')",34
"('ToWorkspace', 'Delay')",28
"('Record', 'Inport')",14
"('Delay', 'ToWorkspace')",16
"('Outport', 'Assignment')",3
"('Inport', 'DiscreteIntegrator')",3
"('DiscreteFilter', 'DotProduct')",43
"('UnitDelay', 'Inport')",27
"('SubSystem', 'UnitDelay')",19
"('UnitDelay', 'Outport')",28
"('UnitDelay', 'SubSystem')",14
"('DiscreteFir', 'ToWorkspace')",4
"('UniformRandomNumber', 'DiscreteTransferFcn')",2
"('DiscretePulseGenerator', 'SubSystem')",4
"('DigitalClock', 'DiscreteFir')",2
"('UnitDelay', 'If')",2
"('DiscreteStateSpace', 'If')",5
"('SignalGenerator', 'ToWorkspace')",2
"('SignalGenerator', 'SubSystem')",8
"('UniformRandomNumber', 'If')",2
"('UniformRandomNumber', 'Reference')",4
"('UniformRandomNumber', 'SubSystem')",4
"('Step', 'SubSystem')",4
"('DigitalClock', 'SubSystem')",2
"('DigitalClock', 'Delay')",64
"('DiscreteTransferFcn', 'If')",2
"('SubSystem', 'ToFile')",6
"('SubSystem', 'DiscreteIntegrator')",6
"('DiscreteZeroPole', 'ToFile')",2
"('SubSystem', 'ToWorkspace')",2
"('Clock', 'SubSystem')",4
"('DiscreteFilter', 'SubSystem')",2
"('Reference', 'ToFile')",2
"('SubSystem', 'DiscreteFir')",4
"('SubSystem', 'DiscreteFilter')",2
"('DiscreteIntegrator', 'ToFile')",2
"('Delay', 'ToFile')",2
"('RandomNumber', 'SubSystem')",2
"('Abs', 'Sum')",2
"('DiscreteFilter', 'Scope')",2
"('ComplexToMagnitudeAngle', 'DotProduct')",5
"('Terminator', 'Outport')",31
"('Sum', 'Trigonometry')",164
"('Product', 'unknown')",4
"('unknown', 'If')",2
"('Saturate', 'DataTypeConversion')",2
"('DataTypeConversion', 'Saturate')",2
"('ComplexToMagnitudeAngle', 'MinMax')",2
"('ComplexToMagnitudeAngle', 'Constant')",29
"('Squeeze', 'UnitDelay')",3
"('Product', 'Squeeze')",2
"('Product', 'DiscreteTransferFcn')",2
"('Sqrt', 'DotProduct')",52
"('Outport', 'ActionPort')",2
"('ActionPort', 'Outport')",3
"('Inport', 'ActionPort')",2
"('ActionPort', 'Inport')",2
"('If', 'Constant')",2
"('Constant', 'unknown')",8
"('If', 'DiscreteFilter')",85
"('Product', 'UnitDelay')",3
"('Abs', 'DiscreteZeroPole')",2
"('DiscreteZeroPole', 'Abs')",2
"('DiscreteFilter', 'If')",70
"('DiscreteFir', 'If')",162
"('If', 'DiscreteFir')",176
"('Terminator', 'Reference')",116
"('DigitalClock', 'Outport')",10
"('Constant', 'DigitalClock')",31
"('Terminator', 'Squeeze')",40
"('Squeeze', 'DigitalClock')",29
"('DigitalClock', 'Signum')",35
"('Signum', 'DigitalClock')",27
"('Terminator', 'DigitalClock')",26
"('Terminator', 'Delay')",93
"('DigitalClock', 'Constant')",22
"('Squeeze', 'Terminator')",40
"('DigitalClock', 'Squeeze')",49
"('Sum', 'Terminator')",112
"('Sum', 'DigitalClock')",37
"('Terminator', 'Sum')",115
"('Terminator', 'Constant')",82
"('DigitalClock', 'Sum')",24
"('Delay', 'DigitalClock')",39
"('Signum', 'Squeeze')",43
"('Terminator', 'Inport')",84
"('Terminator', 'Signum')",32
"('DigitalClock', 'Terminator')",31
"('Reference', 'DigitalClock')",24
"('Outport', 'DigitalClock')",7
"('UnitDelay', 'Product')",3
"('Outport', 'UnitDelay')",3
"('DiscreteTransferFcn', 'Inport')",2
"('Sqrt', 'DiscreteFir')",94
"('DiscreteFir', 'Sqrt')",128
"('DiscreteFir', 'DotProduct')",89
"('DotProduct', 'If')",82
"('DotProduct', 'DiscreteFilter')",51
"('Outport', 'If')",194
"('If', 'If')",59
"('DiscreteFilter', 'Inport')",13
"('Constant', 'DiscreteFir')",42
"('UnaryMinus', 'Reshape')",2
"('Gain', 'UnaryMinus')",2
"('Reshape', 'Constant')",19
"('UnaryMinus', 'Gain')",3
"('DiscreteFir', 'Math')",2
"('Sum', 'DiscreteTransferFcn')",2
"('Trigonometry', 'Constant')",77
"('Trigonometry', 'Terminator')",29
"('Terminator', 'MinMax')",52
"('MinMax', 'Trigonometry')",31
"('Terminator', 'DiscreteFir')",32
"('Terminator', 'Product')",47
"('Trigonometry', 'MinMax')",37
"('Trigonometry', 'Product')",27
"('Sum', 'DiscreteFir')",66
"('MinMax', 'DiscreteFir')",43
"('MinMax', 'Product')",72
"('Terminator', 'Trigonometry')",16
"('DiscreteTransferFcn', 'Gain')",2
"('Sum', 'Gain')",2
"('Trigonometry', 'Reshape')",39
"('Reshape', 'Trigonometry')",38
"('Sum', 'Reshape')",79
"('Reshape', 'Sum')",58
"('ComplexToMagnitudeAngle', 'Reshape')",36
"('Constant', 'Reshape')",39
