,times
"('Sum', 'Trigonometry')",166
"('Product', 'ComplexToRealImag')",2
"('Sum', 'Reshape')",82
"('Product', 'DataTypeConversion')",4
"('DataTypeConversion', 'Inport')",89
"('Gain', 'Reshape')",2
"('MinMax', 'Inport')",72
"('Signum', 'PermuteDimensions')",2
"('DiscreteTransferFcn', 'Reshape')",4
"('Reshape', 'Reference')",12
"('PermuteDimensions', 'Signum')",2
"('Product', 'Reshape')",2
"('NotInPairs', 'NotInPairs')",2
"('Math', 'Sqrt')",3
"('Math', 'DiscreteFir')",5
"('If', 'Assignment')",3
"('Sqrt', 'DiscreteIntegrator')",4
"('DiscreteIntegrator', 'Sqrt')",4
"('Assignment', 'DiscreteIntegrator')",4
"('DiscreteTransferFcn', 'Sqrt')",6
"('DiscreteTransferFcn', 'If')",4
"('Outport', 'Assignment')",9
"('If', 'Outport')",238
"('If', 'Constant')",5
"('DiscreteTransferFcn', 'DataTypeConversion')",136
"('Outport', 'Trigonometry')",128
"('Math', 'Polyval')",2
"('DiscreteFir', 'Math')",3
"('DiscreteFir', 'DataTypeConversion')",341
"('DataTypeConversion', 'Polyval')",2
"('Delay', 'Squeeze')",171
"('Inport', 'UnitDelay')",120
"('UnitDelay', 'Outport')",51
"('DiscreteStateSpace', 'Sum')",35
"('Sum', 'DiscreteStateSpace')",35
"('DiscreteIntegrator', 'SubSystem')",19
"('Reshape', 'Polyval')",2
"('Delay', 'Rounding')",21
"('Constant', 'DataTypeConversion')",9
"('DataTypeConversion', 'DiscreteTransferFcn')",163
"('Squeeze', 'Rounding')",5
"('Squeeze', 'Constant')",105
"('PermuteDimensions', 'Sqrt')",2
"('Bias', 'Reshape')",2
"('Bias', 'Abs')",2
"('Bias', 'Reference')",16
"('MinMax', 'Sqrt')",7
"('DataTypeConversion', 'Sum')",6
"('DigitalClock', 'Scope')",2
"('Math', 'Inport')",10
"('UnaryMinus', 'SubSystem')",13
"('unknown', 'Outport')",10
"('ToWorkspace', 'Reference')",62
